"Dataset","mean_a","lower_a","upper_a","mean_r","lower_r","upper_r"
"Deng_2021",0.762634026093749,-0.594001825,2.80885075,3.97639554008427,0.236805257475066,23.2740303011253
"FE32",0.93647247954375,0.240980225,2.2676535,2.86536638979276,0.424416020130915,13.0861916384732
"Monod_1941",3.60061500309375,2.3183805,4.73320525,0.26595565538746,0.181461007055519,0.440252610248288
"Oscar_1999_batchBo105",1.03211990699687,0.27085745,2.4541705,2.27631870882529,0.473812969980505,8.62848954039306
"Oscar_1999_batchBo119",-0.399570683925,-0.92357435,0.572039999999995,5.57087657160109,0.451493081866914,18.2669349003687
"Oscar_1999_batchBo54",0.50215557823125,0.16843755,1.26489575,6.67680327314747,0.992788269594791,23.7098794749682
"Oscar_1999_batchBo62",1.31558382325062,-0.422853825,3.85021275,2.8235016258176,0.250042047363534,14.7026343799894
"Oscar_1999_batchBo63",0.301732756819687,-0.40674655,1.34140925,9.47254404487313,0.724895091005407,35.3913020256446
"Oscar_1999_batchBo92",1.63626170255406,0.188435875,4.21089874999999,1.7946496753983,0.236618345178622,9.40948861931329
"Oscar_1999_batchBo93",1.189234673,0.62674195,2.115817,1.49891496886183,0.658589844849426,2.96406962194299
"Oscar_1999_batchBo99",-0.55377616369625,-0.84516355,-0.2469433,2.08373826541339,0.341209884600633,9.20068008100817
"Varma_1994",3.22582253409375,1.82208925,4.88997725,0.29719663169534,0.172130034493754,0.529762172758247
